No,Content,Trainer,Trainee,Duration (h),Required,Priority,Material link,Status,Comment
1,Toolbox,,,,,,,,
,ruby,Self-training,New members,40,Yes,High,N/A,In-Progress,
,rubygem,Self-training,New members,,Yes,High,N/A,Pending,
,Interactive Ruby (irb),Self-training,New members,,Yes,High,N/A,Not Started,
,Sublime Text (or replacement),Self-training,New members,,Yes,Medium,N/A,Not Started,
2,Ruby Programming Language,,,,,,,,
,"Strings, symbols, and regular expressions",Self-training,New members,,Yes,High,http://www.tutorialspoint.com/ruby/index.htm,Not Started,
,Collection objects and iterators,Self-training,New members,,Yes,High,http://www.tutorialspoint.com/ruby/index.htm,Not Started,
,File and I/O operations,Self-training,New members,,Yes,High,http://www.tutorialspoint.com/ruby/index.htm,Complete,
,"Date, time and numeric types",Self-training,New members,,Yes,High,http://www.tutorialspoint.com/ruby/index.htm,Not Started,
,Practices,Self-training,New members,,Yes,High,N/A,Not Started,
3,Getting Started with Rails (2.3),,,,,,,,
,Getting Started with Rails,Self-training,New members,,Yes,High,http://guides.rubyonrails.org/getting_started.html,Not Started,
4,Model ,,,,,,,,
,Rails Database Migrations ,Self-training,New members,,Yes,High,http://guides.rubyonrails.org/migrations.html,Not Started,
,Active Record Validations and Callbacks,Self-training,New members,,Yes,Medium,http://guides.rubyonrails.org/activerecord_validations_callbacks.html,Not Started,
,Active Record Associations,Self-training,New members,,Yes,High,http://guides.rubyonrails.org/association_basics.html,Not Started,
,Active Record Query Interface ,Self-training,New members,,Yes,High,http://guides.rubyonrails.org/active_record_querying.html,Not Started,
5,Action Pack,,,,,,,,
,Action Controller Overview,Self-training,New members,,Yes,High,http://guides.rubyonrails.org/action_controller_overview.html,Not Started,
,Action View Form Helpers ,Self-training,New members,,Yes,Low,http://guides.rubyonrails.org/form_helpers.html,Not Started,
,Debugging Rails Applications,Self-training,New members,,Yes,High,http://guides.rubyonrails.org/debugging_rails_applications.html,Not Started,
,Rails Routing from the Outside In (RESTful architecture),Self-training,New members,,Yes,High,http://guides.rubyonrails.org/routing.html,Not Started,
6,Unit Testing ,,,,,,,,
